iter	Logloss
0	0.6902544193
1	0.6871642377
2	0.6847710706
3	0.6822849968
4	0.6803585411
5	0.6782629442
6	0.6765430258
7	0.6746224584
8	0.6735493421
9	0.6721770914
10	0.6709194933
11	0.6695620172
12	0.6684031203
13	0.6673895735
14	0.6665017507
15	0.6652796858
16	0.6646348176
17	0.6635040411
18	0.6627528837
19	0.66190177
20	0.6613543627
21	0.6604454025
22	0.6596795008
23	0.6591244537
24	0.6581563751
25	0.6572801455
26	0.6565769404
27	0.6561032001
28	0.6553013835
29	0.6546870434
30	0.653932381
31	0.6533847061
32	0.6530481413
33	0.6523498461
34	0.651891014
35	0.6511613329
36	0.6503693106
37	0.6497225851
38	0.6488787858
39	0.6481661713
40	0.6477904895
41	0.6472604853
42	0.6468166648
43	0.6463487284
44	0.6457256654
45	0.645002642
46	0.6444405949
47	0.6439813844
48	0.6434654194
49	0.6430673428
50	0.6426391851
51	0.6421441316
52	0.6415091638
53	0.6410285279
54	0.6405768868
55	0.6401948919
56	0.6396831774
57	0.6390975272
58	0.6387495892
59	0.6382949451
60	0.6376320377
61	0.6371452876
62	0.6367228605
63	0.636207046
64	0.635725316
65	0.6351657698
66	0.6347185526
67	0.6337692457
68	0.6332368078
69	0.6327949239
70	0.6324991728
71	0.6319654925
72	0.6313862179
73	0.6308177984
74	0.6302459302
75	0.6293899239
76	0.6289660571
77	0.628450239
78	0.627878853
79	0.6272865912
80	0.6267619449
81	0.6263387747
82	0.6259178022
83	0.6254435486
84	0.6249672943
85	0.6241925179
86	0.6232850188
87	0.6228260156
88	0.6224275862
89	0.6220038782
90	0.6213200756
91	0.6210542418
92	0.6206318462
93	0.6201352161
94	0.6197347208
95	0.6192627617
96	0.6185550224
97	0.6180508335
98	0.6175290808
99	0.6170514768
100	0.6167262721
101	0.6163700996
102	0.6159239231
103	0.6155128151
104	0.614887361
105	0.6140786489
106	0.6137798652
107	0.6134630415
108	0.6129285946
109	0.6126154459
110	0.612177618
111	0.6117379956
112	0.6113102265
113	0.6108982888
114	0.6105149417
115	0.6100472399
116	0.6097731891
117	0.6092549571
118	0.6089524932
119	0.6085222395
120	0.6080151384
121	0.6074350795
122	0.6070468381
123	0.6066868301
124	0.6063281376
125	0.6058550827
126	0.6052277051
127	0.6047368712
128	0.6044535696
129	0.6040419003
130	0.6036855287
131	0.6034090492
132	0.6030986096
133	0.602704712
134	0.6024195914
135	0.6018617356
136	0.6015508167
137	0.6011796492
138	0.6008500336
139	0.6004229788
140	0.6000549324
141	0.5995469378
142	0.5992319502
143	0.598744367
144	0.5980224707
145	0.5975760616
146	0.5972190742
147	0.5967695443
148	0.5962827368
149	0.5957394156
150	0.595492465
151	0.5951065635
152	0.5947169225
153	0.5941179534
154	0.5939415045
155	0.5935586024
156	0.5930717753
157	0.5926103544
158	0.5922904107
159	0.5920006809
160	0.5915732304
161	0.5911527571
162	0.5905840403
163	0.5899589804
164	0.5896104089
165	0.5891469876
166	0.5887972345
167	0.5883561816
168	0.5880471735
169	0.5876429728
170	0.5871362711
171	0.58676904
172	0.5863320481
173	0.5856212953
174	0.5852150341
175	0.5846282886
176	0.5841988121
177	0.5836685877
178	0.5832383234
179	0.5828653551
180	0.5825687823
181	0.582070356
182	0.5812411881
183	0.5807330619
184	0.5801506852
185	0.57972571
186	0.5791723747
187	0.5788398293
188	0.5783607299
189	0.5777025083
190	0.5772089301
191	0.5769146976
192	0.5764641857
193	0.5759971041
194	0.575449263
195	0.5749449071
196	0.5743472982
197	0.5738690613
198	0.5734667362
199	0.5729873019
200	0.572662002
201	0.5721853124
202	0.5715840304
203	0.5712088578
204	0.5705887449
205	0.570099913
206	0.5696038676
207	0.5691198307
208	0.5685765061
209	0.5682320624
210	0.5675633506
211	0.5670475831
212	0.566604461
213	0.5661833835
214	0.5656087799
215	0.5651545795
216	0.5646808865
217	0.5642556602
218	0.5637141498
219	0.5630887742
220	0.5624127422
221	0.5619918548
222	0.5614365805
223	0.5609672977
224	0.5603361061
225	0.5598810668
226	0.5594759658
227	0.5587893783
228	0.5584638157
229	0.5578117722
230	0.5574101405
231	0.5568519136
232	0.5562611336
233	0.5557380391
234	0.5551986698
235	0.5547093561
236	0.5541903201
237	0.5537906394
238	0.5533074837
239	0.5527429889
240	0.5522107479
241	0.55168373
242	0.5509976257
243	0.5505842911
244	0.5501170028
245	0.5496514232
246	0.5489340466
247	0.5484346557
248	0.548185482
249	0.5475587762
250	0.5471063334
251	0.5463100907
252	0.5458737555
253	0.5452533277
254	0.5445812941
255	0.5439222951
256	0.5433409281
257	0.5429086028
258	0.5424185672
259	0.5418469122
260	0.5413766925
261	0.5408509176
262	0.5403798385
263	0.5399977188
264	0.5393507184
265	0.5387655456
266	0.5383089967
267	0.5377430423
268	0.5372579451
269	0.5366751595
270	0.5360616404
271	0.5354960586
272	0.5351275425
273	0.5345381612
274	0.5340251867
275	0.5335281893
276	0.5330760259
277	0.5327014914
278	0.5323217644
279	0.5317445213
280	0.5310879158
281	0.5306668541
282	0.5302840042
283	0.5299039371
284	0.529474756
285	0.5290158771
286	0.5284493618
287	0.5280591177
288	0.5276689846
289	0.5272848867
290	0.5268681163
291	0.5262117257
292	0.5255249121
293	0.5249012501
294	0.5245066482
295	0.5240312748
296	0.5236288857
297	0.5232976599
298	0.5228117198
299	0.5220900688
300	0.5215347644
301	0.5209660818
302	0.5205075956
303	0.520013634
304	0.5192660471
305	0.5186571645
306	0.5182129767
307	0.5177987144
308	0.5173713815
309	0.5165957425
310	0.5160694338
311	0.515648104
312	0.5151531265
313	0.5146620903
314	0.5142893538
315	0.5138718887
316	0.5135465504
317	0.5131050925
318	0.5126667314
319	0.5123515589
320	0.512030058
321	0.5115287273
322	0.5110790401
323	0.5106181793
324	0.5103256487
325	0.5099170173
326	0.5095081132
327	0.5090604926
328	0.5087341976
329	0.5083090495
330	0.5077872567
331	0.5072431473
332	0.5067187818
333	0.5063263713
334	0.5059885923
335	0.5055514627
336	0.5050313288
337	0.5046351015
338	0.5040317531
339	0.5034458507
340	0.5030812737
341	0.5027710977
342	0.5022238771
343	0.501796817
344	0.5013678965
345	0.5010216824
346	0.5007354757
347	0.5003350461
348	0.5000186651
349	0.499698061
350	0.4994303633
351	0.4988916003
352	0.498388178
353	0.4979692197
354	0.4974912507
355	0.4970927682
356	0.4966767566
357	0.4962609824
358	0.4958521726
359	0.4953402653
360	0.4946879681
361	0.4943678908
362	0.4939413851
363	0.4935269595
364	0.4931245063
365	0.4924273849
