iter	Logloss
366	0.4920087813
367	0.491644146
368	0.491323046
369	0.4907338237
370	0.4903462822
371	0.4899870092
372	0.4896075103
373	0.4892521332
374	0.4888904037
375	0.4883879661
376	0.4880729908
377	0.4876859489
378	0.4871511047
379	0.4865735524
380	0.4861842383
381	0.4855867939
382	0.4850641262
383	0.4846707235
384	0.4843169978
385	0.4838558353
386	0.4834294398
387	0.4830924788
388	0.4827389307
389	0.4824365075
390	0.4820244024
391	0.4816222942
392	0.481367916
393	0.4810006548
394	0.4805747865
395	0.4802522774
396	0.4798620957
397	0.4794425227
398	0.47903181
399	0.4786049726
400	0.4780720071
401	0.477741239
402	0.4773926873
403	0.4770485123
404	0.4767390628
405	0.4764625683
406	0.476070296
407	0.4757591788
408	0.4754582545
409	0.4751055984
410	0.474751744
411	0.4744576199
412	0.4739920021
413	0.4735269488
414	0.4729259655
415	0.4724345552
416	0.471979994
417	0.4715540587
418	0.4710077854
419	0.4706345775
420	0.4700666256
421	0.4696592288
422	0.4692336099
423	0.4687999831
424	0.4682284268
425	0.4679150752
426	0.4674811687
427	0.4670597835
428	0.4667627289
429	0.4664463499
430	0.4660061701
431	0.4657411053
432	0.4652057556
433	0.4648650105
434	0.4647400269
435	0.4643330137
436	0.463967492
437	0.4636423593
438	0.4632043631
439	0.4627114617
440	0.4623993244
441	0.4618777062
442	0.4615503716
443	0.4611918982
444	0.4608460095
445	0.460328273
446	0.4599511547
447	0.4596465634
448	0.4590895426
449	0.4585371966
450	0.4580495964
451	0.4577522111
452	0.4573818169
453	0.4569937225
454	0.4567339547
455	0.4564083049
456	0.456077187
457	0.4557259724
458	0.4553978429
459	0.4550309488
460	0.4547408321
461	0.4544525929
462	0.4541108873
463	0.4537759766
464	0.4535198035
465	0.4531322328
466	0.4527905926
467	0.4524151914
468	0.452004396
469	0.4516594706
470	0.4513102967
471	0.4507666667
472	0.4505331124
473	0.4500934187
474	0.449685294
475	0.4494440277
476	0.4490311919
477	0.4487592444
478	0.4482537122
479	0.4480020445
480	0.4476201806
481	0.4471721371
482	0.4467898393
483	0.4464699279
484	0.4461286793
485	0.4457767574
486	0.4453308502
487	0.4450215597
488	0.4446199344
489	0.444234321
490	0.4439008356
491	0.4435564931
492	0.4430683193
493	0.4426917085
494	0.4424749473
495	0.4418095947
496	0.4413962511
497	0.4410048785
498	0.4405750727
499	0.440065243
