sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
4.5,7.0,1.5555555555555556,7391,1810,5581,0.24489243674739547,0.504489438372255,-1.683736977404952,88,0.015767783551334884,12670.0,25114.5,-12444.5
4.5,8.0,1.7777777777777777,6849,1268,5581,0.18513651627974886,0.4039100917796492,-2.185793546503139,56,0.0100340440781222,10144.0,25114.5,-14970.5
4.5,10.0,2.2222222222222223,6244,663,5581,0.10618193465727098,0.2639909215791674,-2.96036194746957,23,0.004121125246371618,6630.0,25114.5,-18484.5
4.5,12.0,2.6666666666666665,5901,320,5581,0.05422809693272327,0.15289971928567161,-3.6052364006100666,14,0.00250851101953055,3840.0,25114.5,-21274.5
4.5,15.0,3.3333333333333335,5719,138,5581,0.024130092673544327,0.08242250492743236,-4.029463192865885,5,0.0008958967926894822,2070.0,25114.5,-23044.5
5.0,1.0,0.2,30073,25578,4495,0.8505303760848602,1.1380645161290324,0.10318225650916091,2013,0.4478309232480534,25578.0,22475.0,3103.0
5.0,1.5,0.3,24732,20237,4495,0.8182516577713084,1.3506340378197998,0.3186357755135043,1365,0.303670745272525,30355.5,22475.0,7880.5
5.0,2.0,0.4,20673,16178,4495,0.7825666328060755,1.4396440489432702,0.4779664296425288,967,0.21512791991101224,32356.0,22475.0,9881.0
5.0,2.5,0.5,17394,12899,4495,0.7415775554789008,1.4348164627363738,0.5618316660917559,710,0.15795328142380421,32247.5,22475.0,9772.5
5.0,3.0,0.6,14595,10100,4495,0.6920178143199726,1.3481646273637375,0.5361425145597805,544,0.12102335928809789,30300.0,22475.0,7825.0
5.0,4.0,0.8,10905,6410,4495,0.5878037597432371,1.1408231368186874,0.2902338376891338,320,0.07119021134593993,25640.0,22475.0,3165.0
5.0,5.0,1.0,8664,4169,4495,0.4811865189289012,0.9274749721913237,-0.18813481071098792,202,0.04493882091212458,20845.0,22475.0,-1630.0
5.0,6.0,1.2,7220,2725,4495,0.37742382271468145,0.7274749721913237,-0.8483379501385042,127,0.02825361512791991,16350.0,22475.0,-6125.0
